"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","210","240","12","0"
"05-09","214","260","3","0"
"10-14","275","329","10","0"
"15-19","510","534","14","0"
"20-24","749","747","25","0"
"25-29","728","697","37","0"
"30-34","679","737","44","0"
"35-39","611","661","50","0"
"40-44","669","532","51","0"
"45-49","692","542","53","1"
"50-54","758","742","80","3"
"55-59","738","690","98","9"
"60-64","456","492","109","14"
"65-69","267","321","118","25"
"70-74","281","309","164","46"
"75-79","360","314","219","80"
"80-84","640","401","356","165"
"85-89","550","250","226","159"
"90+","604","170","172","170"

"Datenstand 09.03.2021 20:05:26"
