"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","843","835","45","1"
"05-09","1.132","1.181","25","0"
"10-14","1.252","1.469","27","0"
"15-19","1.622","1.661","46","0"
"20-24","1.916","1.984","97","0"
"25-29","1.757","1.766","109","0"
"30-34","1.677","1.833","130","2"
"35-39","1.607","1.651","153","2"
"40-44","1.653","1.492","167","1"
"45-49","1.511","1.397","166","3"
"50-54","1.619","1.697","227","15"
"55-59","1.503","1.553","267","23"
"60-64","934","1.080","254","25"
"65-69","532","615","240","42"
"70-74","518","523","298","75"
"75-79","540","492","368","123"
"80-84","829","540","516","224"
"85-89","661","325","347","198"
"90+","698","200","243","215"

"Datenstand 25.08.2021 19:01:37"
