"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","30","39","4","0"
"05-09","48","47","3","0"
"10-14","56","56","4","0"
"15-19","97","80","4","0"
"20-24","162","161","7","0"
"25-29","183","171","17","0"
"30-34","152","156","14","0"
"35-39","152","125","10","0"
"40-44","138","134","15","0"
"45-49","140","157","22","3"
"50-54","212","196","25","0"
"55-59","198","208","49","6"
"60-64","113","113","43","8"
"65-69","80","87","50","10"
"70-74","73","71","48","18"
"75-79","104","81","89","26"
"80-84","105","95","102","37"
"85-89","69","35","48","26"
"90+","72","20","28","27"

"Datenstand 12.09.2020 08:30:47"
