"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.140,44","6.766","+39","685","+1","229","+1"
"Segeberg","SE","1.670,42","4.630","+18","376","+1","94",""
"Stormarn","OD","1.691,95","4.131","+20","374","+3","129",""
"Herzogtum Lauenburg","RZ","1.841,74","3.647","+20","263","","75",""
"Kiel","KI","1.467,62","3.622","+56","287","+2","59",""
"Lübeck","HL","1.627,03","3.523","+18","279","+1","75",""
"Rendsburg-Eckernförde","RD","952,21","2.610","+21","206","","35",""
"Ostholstein","OH","1.194,78","2.396","+5","241","+1","67",""
"Schleswig-Flensburg","SL","1.050,43","2.113","+15","90","","31",""
"Nordfriesland","NF","1.203,37","1.997","+9","221","+1","54",""
"Flensburg","FL","2.142,76","1.932","+9","112","","29",""
"Steinburg","IZ","1.228,89","1.610","+7","147","","21",""
"Neumünster","NMS","1.669,66","1.339","+12","96","","9",""
"Dithmarschen","HEI","844,64","1.125","+10","96","","20",""
"Plön","PLO","725,80","934","+7","114","+1","18",""
"-"
"Schleswig-Holstein","SH","1.459,31","42.375","+266","3.587","+11","945","+1"

"Datenstand 11.08.2021 19:08:28"
