"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.767,77","8.749","+53","804","+2","243",""
"Segeberg","SE","2.161,81","5.992","+42","468","+4","105","+1"
"Stormarn","OD","2.264,13","5.528","+49","471","+2","142",""
"Kiel","KI","2.189,68","5.404","+42","393","+5","68",""
"Herzogtum Lauenburg","RZ","2.374,01","4.701","+30","295","","80",""
"Lübeck","HL","2.113,79","4.577","+16","299","","75",""
"Rendsburg-Eckernförde","RD","1.322,52","3.625","+29","240","","43",""
"Ostholstein","OH","1.457,07","2.922","+8","266","+1","67",""
"Schleswig-Flensburg","SL","1.284,58","2.584","+15","108","","33","+1"
"Nordfriesland","NF","1.511,29","2.508","+21","258","+2","57",""
"Flensburg","FL","2.756,09","2.485","+13","127","","29",""
"Steinburg","IZ","1.617,40","2.119","+8","177","","28",""
"Neumünster","NMS","2.447,75","1.963","+11","129","","10",""
"Dithmarschen","HEI","1.331,90","1.774","+13","149","+2","23",""
"Plön","PLO","1.076,26","1.385","+10","151","","22",""
"-"
"Schleswig-Holstein","SH","1.939,41","56.316","+360","4.335","+18","1.025","+2"

"Datenstand 28.10.2021 19:11:03"
