"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.532,73","4.845","+44","464","+2","189",""
"Segeberg","SE","1.263,46","3.502","+27","134","+4","83","+1"
"Stormarn","OD","1.147,22","2.801","+24","275","+1","110",""
"Herzogtum Lauenburg","RZ","1.311,49","2.597","+31","180","+1","66",""
"Lübeck","HL","1.156,88","2.505","+12","238","","67",""
"Kiel","KI","835,51","2.062","+39","185","+1","48",""
"Rendsburg-Eckernförde","RD","652,69","1.789","+16","153","","24",""
"Ostholstein","OH","831,76","1.668","+23","197","+1","60",""
"Schleswig-Flensburg","SL","826,22","1.662","+7","71","","24",""
"Flensburg","FL","1.804,49","1.627","+2","104","","29",""
"Nordfriesland","NF","864,71","1.435","+10","194","+4","47",""
"Steinburg","IZ","804,50","1.054","+11","79","","10",""
"Neumünster","NMS","1.092,32","876","+3","65","","8",""
"Dithmarschen","HEI","538,32","717","+14","60","+1","9",""
"Plön","PLO","441,38","568","+14","79","+2","14",""
"-"
"Schleswig-Holstein","SH","1.023,08","29.708","+277","2.478","+17","788","+1"

"Datenstand 16.04.2021 18:30:00"
