"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","300,58","945","+11","146","","47",""
"Stormarn","OD","291,12","708","+14","60","","35",""
"Segeberg","SE","197,80","546","+2","50","+1","7",""
"Kiel","KI","197,13","488","+4","80","","12",""
"Rendsburg-Eckernförde","RD","143,34","391","+2","55","+1","14",""
"Herzogtum Lauenburg","RZ","193,65","382","+5","53","+1","18",""
"Lübeck","HL","156,54","340","+14","15","+1","1",""
"Dithmarschen","HEI","189,17","252","+1","36","+1","5",""
"Steinburg","IZ","182,72","240","+2","25","","3",""
"Schleswig-Flensburg","SL","106,99","214","+1","21","","4",""
"Neumünster","NMS","235,26","187","+1","13","","3",""
"Plön","PLO","134,48","173","+3","36","","8",""
"Ostholstein","OH","80,27","161","","18","","0",""
"Nordfriesland","NF","95,46","158","+3","19","","2",""
"Flensburg","FL","156,42","140","+2","9","","3",""
"-"
"Schleswig-Holstein","SH","183,83","5.325","+65","636","+5","162",""

"Datenstand 12.10.2020 20:20:42"
