"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","262,41","825","+7","140","","47",""
"Stormarn","OD","251,24","611","+9","56","","35",""
"Kiel","KI","185,01","458","+2","79","","11",""
"Segeberg","SE","164,11","453","+2","47","","7",""
"Herzogtum Lauenburg","RZ","177,93","351","+2","51","","18",""
"Rendsburg-Eckernförde","RD","125,01","341","+1","51","","14",""
"Lübeck","HL","123,85","269","+2","13","","1",""
"Steinburg","IZ","159,12","209","+2","25","","3",""
"Schleswig-Flensburg","SL","93,49","187","+3","21","","4",""
"Dithmarschen","HEI","133,62","178","","28","","5",""
"Neumünster","NMS","203,81","162","+4","11","","3",""
"Plön","PLO","124,37","160","","36","","8",""
"Ostholstein","OH","63,32","127","","15","","0",""
"Nordfriesland","NF","71,30","118","+4","17","+1","2",""
"Flensburg","FL","101,67","91","+4","7","+1","3",""
"-"
"Schleswig-Holstein","SH","156,73","4.540","+42","597","+2","161",""

"Datenstand 23.09.2020 18:55:19"
