"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","715","721","40","1"
"05-09","858","912","18","0"
"10-14","889","1.073","22","0"
"15-19","1.304","1.366","39","0"
"20-24","1.650","1.698","85","0"
"25-29","1.513","1.538","96","0"
"30-34","1.466","1.641","115","2"
"35-39","1.389","1.462","127","2"
"40-44","1.436","1.320","141","1"
"45-49","1.371","1.250","155","3"
"50-54","1.491","1.572","202","14"
"55-59","1.419","1.443","244","22"
"60-64","881","1.010","239","25"
"65-69","497","579","223","40"
"70-74","502","506","294","73"
"75-79","526","472","357","121"
"80-84","812","529","507","224"
"85-89","650","318","339","197"
"90+","682","194","236","212"

"Datenstand 26.07.2021 19:19:31"
