"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.085,59","3.413","","301","","68",""
"Stormarn","OD","1.058,82","2.575","+38","130","+2","69",""
"Segeberg","SE","803,17","2.217","+41","132","-1","43",""
"Lübeck","HL","1.009,22","2.192","+150","73","","12",""
"Kiel","KI","786,92","1.948","+28","197","+2","29",""
"Herzogtum Lauenburg","RZ","747,22","1.474","+19","89","","26",""
"Rendsburg-Eckernförde","RD","523,14","1.427","+45","118","+1","17",""
"Ostholstein","OH","435,24","873","+23","58","+2","6",""
"Nordfriesland","NF","517,20","856","+18","58","","7","+2"
"Dithmarschen","HEI","632,08","842","+4","85","","15",""
"Steinburg","IZ","529,13","695","+28","52","","5",""
"Schleswig-Flensburg","SL","324,46","649","+6","46","+1","7",""
"Neumünster","NMS","793,84","631","+17","36","","8",""
"Plön","PLO","363,79","468","+5","67","+1","8",""
"Flensburg","FL","469,25","420","+9","20","","4",""
"-"
"Schleswig-Holstein","SH","713,91","20.680","+431","1.462","+8","324","+2"

"Datenstand 19.12.2020 20:28:11"
