"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.492,23","7.878","+28","752","+6","238",""
"Segeberg","SE","1.926,58","5.340","+19","417","","99",""
"Stormarn","OD","1.952,85","4.768","+14","432","-1","137",""
"Kiel","KI","1.920,63","4.740","+12","354","","66","+1"
"Herzogtum Lauenburg","RZ","2.157,37","4.272","+8","282","+1","77",""
"Lübeck","HL","1.944,30","4.210","+4","290","","75",""
"Rendsburg-Eckernförde","RD","1.148,49","3.148","+25","224","","37",""
"Ostholstein","OH","1.338,39","2.684","+8","259","+1","68",""
"Schleswig-Flensburg","SL","1.172,72","2.359","+6","100","","31",""
"Nordfriesland","NF","1.391,37","2.309","","240","","56",""
"Flensburg","FL","2.534,27","2.285","+5","122","","29",""
"Steinburg","IZ","1.485,35","1.946","+1","167","","22",""
"Neumünster","NMS","2.147,24","1.722","+3","114","","9",""
"Dithmarschen","HEI","1.183,25","1.576","+5","129","","21",""
"Plön","PLO","930,95","1.198","+8","137","+2","21",""
"-"
"Schleswig-Holstein","SH","1.736,88","50.435","+146","4.019","+9","986","+1"

"Datenstand 23.09.2021 19:11:58"
