"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","625","636","28","1"
"05-09","703","783","12","0"
"10-14","749","900","16","0"
"15-19","1.116","1.168","29","0"
"20-24","1.438","1.487","65","0"
"25-29","1.354","1.362","73","0"
"30-34","1.309","1.483","88","1"
"35-39","1.251","1.323","102","1"
"40-44","1.307","1.204","109","1"
"45-49","1.239","1.108","128","2"
"50-54","1.375","1.431","156","6"
"55-59","1.310","1.339","192","19"
"60-64","814","913","184","20"
"65-69","466","542","191","36"
"70-74","474","479","249","67"
"75-79","507","457","318","111"
"80-84","783","511","463","204"
"85-89","628","307","293","185"
"90+","667","188","209","195"

"Datenstand 11.05.2021 19:01:13"
