"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","136","14","7"
"02.01.2021","263","35","25"
"03.01.2021","201","37","10"
"04.01.2021","260","35","15"
"05.01.2021","538","55","12"
"06.01.2021","532","44","22"
"07.01.2021","478","32","13"
"08.01.2021","523","43","18"
"09.01.2021","405","34","13"
"10.01.2021","141","19","13"
"11.01.2021","258","45","14"
"12.01.2021","403","48","15"
"13.01.2021","489","50","18"
"14.01.2021","421","41","13"
"15.01.2021","412","59","16"
"16.01.2021","352","33","15"
"17.01.2021","201","24","8"
"18.01.2021","238","27","9"
"19.01.2021","469","48","24"
"20.01.2021","484","46","15"
"21.01.2021","497","49","21"
"22.01.2021","460","40","26"
"23.01.2021","439","38","11"
"24.01.2021","156","24","9"
"25.01.2021","163","36","16"
"26.01.2021","544","43","16"
"27.01.2021","463","48","20"
"28.01.2021","383","45","14"
"29.01.2021","346","44","27"
"30.01.2021","260","19","5"
"31.01.2021","179","18","7"
"01.02.2021","129","20","5"
"02.02.2021","362","33","9"
"03.02.2021","339","28","7"
"04.02.2021","328","42","5"
"05.02.2021","261","22","4"
"06.02.2021","268","18","5"
"07.02.2021","107","14","0"
"08.02.2021","135","28","5"
"09.02.2021","312","14","1"
"10.02.2021","335","18","4"
"11.02.2021","358","21","2"
"12.02.2021","227","15","0"
"13.02.2021","190","8","0"
"14.02.2021","116","8","0"
"15.02.2021","142","8","0"
"16.02.2021","252","12","1"
"17.02.2021","236","6","0"

"Datenstand 17.02.2021 20:31:09"
