"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.912,98","6.047","+17","634","+2","217",""
"Segeberg","SE","1.521,42","4.217","","274","+6","91",""
"Stormarn","OD","1.539,18","3.758","+12","343","","122",""
"Herzogtum Lauenburg","RZ","1.704,38","3.375","+3","238","+1","69",""
"Lübeck","HL","1.438,60","3.115","+2","259","","74",""
"Kiel","KI","1.250,84","3.087","+7","258","","55",""
"Rendsburg-Eckernförde","RD","871,59","2.389","+9","201","","35",""
"Ostholstein","OH","1.115,49","2.237","+4","237","+1","66",""
"Schleswig-Flensburg","SL","980,33","1.972","+3","85","","30",""
"Nordfriesland","NF","1.071,40","1.778","+8","206","","53",""
"Flensburg","FL","1.956,43","1.764","+1","110","","29",""
"Steinburg","IZ","1.140,34","1.494","+2","139","","19",""
"Neumünster","NMS","1.424,01","1.142","","86","","9",""
"Dithmarschen","HEI","761,30","1.014","+9","89","+1","18","+2"
"Plön","PLO","624,78","804","+2","100","","17",""
"-"
"Schleswig-Holstein","SH","1.315,29","38.193","+79","3.259","+11","904","+2"

"Datenstand 02.06.2021 21:59:37"
