"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.766,20","5.583","+42","535","+4","196",""
"Segeberg","SE","1.418,24","3.931","+17","173","+3","87",""
"Stormarn","OD","1.387,64","3.388","+27","315","+5","116",""
"Herzogtum Lauenburg","RZ","1.539,75","3.049","+22","204","+1","69",""
"Lübeck","HL","1.291,28","2.796","+14","252","+1","69",""
"Kiel","KI","1.070,93","2.643","+58","221","+3","53","+2"
"Rendsburg-Eckernförde","RD","774,91","2.124","+13","175","","28",""
"Ostholstein","OH","1.024,74","2.055","+21","219","","63",""
"Schleswig-Flensburg","SL","932,11","1.875","+8","76","+2","26",""
"Flensburg","FL","1.916,51","1.728","+8","106","+3","29",""
"Nordfriesland","NF","973,18","1.615","+9","200","","50","+1"
"Steinburg","IZ","1.018,98","1.335","+17","93","","13",""
"Neumünster","NMS","1.293,08","1.037","+11","81","+2","8",""
"Dithmarschen","HEI","692,23","922","+13","77","","11",""
"Plön","PLO","550,18","708","+11","89","+1","15",""
"-"
"Schleswig-Holstein","SH","1.198,06","34.789","+291","2.816","+25","833","+3"

"Datenstand 05.05.2021 19:16:10"
