"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","599","605","26","1"
"05-09","670","752","12","0"
"10-14","713","874","16","0"
"15-19","1.066","1.133","29","0"
"20-24","1.393","1.439","60","0"
"25-29","1.328","1.333","71","0"
"30-34","1.279","1.450","84","1"
"35-39","1.215","1.297","98","1"
"40-44","1.277","1.179","109","1"
"45-49","1.203","1.087","121","2"
"50-54","1.343","1.400","151","5"
"55-59","1.277","1.299","187","18"
"60-64","793","895","179","20"
"65-69","455","532","184","34"
"70-74","465","465","245","67"
"75-79","500","444","312","107"
"80-84","779","507","456","200"
"85-89","628","305","290","184"
"90+","666","188","203","194"

"Datenstand 06.05.2021 18:38:59"
