"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","699","697","35","1"
"05-09","826","884","15","0"
"10-14","849","1.046","21","0"
"15-19","1.231","1.288","35","0"
"20-24","1.564","1.597","77","0"
"25-29","1.456","1.468","88","0"
"30-34","1.428","1.591","107","2"
"35-39","1.349","1.422","124","2"
"40-44","1.397","1.291","133","1"
"45-49","1.343","1.212","149","3"
"50-54","1.462","1.536","197","11"
"55-59","1.391","1.417","238","21"
"60-64","858","988","232","23"
"65-69","490","570","220","40"
"70-74","498","500","284","72"
"75-79","524","471","351","121"
"80-84","806","526","504","222"
"85-89","642","316","332","196"
"90+","678","193","231","211"

"Datenstand 17.06.2021 18:34:30"
