"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","61","54","4","0"
"05-09","55","46","1","0"
"10-14","87","88","4","0"
"15-19","180","180","3","0"
"20-24","302","283","7","0"
"25-29","312","248","17","0"
"30-34","242","294","12","0"
"35-39","228","247","20","0"
"40-44","244","187","10","0"
"45-49","258","174","14","0"
"50-54","285","271","18","1"
"55-59","264","228","29","0"
"60-64","191","183","33","2"
"65-69","100","124","28","3"
"70-74","117","133","59","7"
"75-79","150","144","69","16"
"80-84","263","173","120","34"
"85-89","230","110","68","26"
"90+","259","74","56","22"

"Datenstand 20.01.2021 20:19:09"
