"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","136","14","7"
"02.01.2021","263","35","25"
"03.01.2021","201","37","10"
"04.01.2021","260","34","14"
"05.01.2021","538","54","11"
"06.01.2021","533","44","19"
"07.01.2021","478","32","12"
"08.01.2021","523","43","18"
"09.01.2021","407","34","13"
"10.01.2021","141","18","13"
"11.01.2021","259","45","12"
"12.01.2021","403","47","14"
"13.01.2021","491","49","18"
"14.01.2021","421","41","13"
"15.01.2021","412","59","14"
"16.01.2021","352","33","15"
"17.01.2021","202","25","7"
"18.01.2021","237","27","9"
"19.01.2021","469","46","22"
"20.01.2021","484","46","15"
"21.01.2021","497","47","20"
"22.01.2021","460","40","24"
"23.01.2021","439","38","9"
"24.01.2021","156","24","6"
"25.01.2021","163","35","14"
"26.01.2021","545","43","13"
"27.01.2021","463","48","18"
"28.01.2021","383","45","13"
"29.01.2021","347","44","22"
"30.01.2021","260","19","4"
"31.01.2021","179","18","4"
"01.02.2021","129","20","3"
"02.02.2021","363","33","4"
"03.02.2021","340","26","5"
"04.02.2021","328","41","4"
"05.02.2021","261","17","3"
"06.02.2021","268","17","3"
"07.02.2021","107","12","0"
"08.02.2021","139","27","5"
"09.02.2021","312","12","0"
"10.02.2021","337","15","3"
"11.02.2021","358","15","1"
"12.02.2021","226","11","0"
"13.02.2021","191","6","0"
"14.02.2021","114","4","0"

"Datenstand 14.02.2021 20:07:44"
