"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","1.018","1.056","56","1"
"05-09","1.508","1.574","32","0"
"10-14","1.721","1.902","37","0"
"15-19","1.936","2.035","55","0"
"20-24","2.231","2.357","119","0"
"25-29","2.084","2.147","152","0"
"30-34","2.028","2.253","176","2"
"35-39","1.937","1.950","195","4"
"40-44","1.948","1.786","190","4"
"45-49","1.770","1.638","185","4"
"50-54","1.859","1.937","264","18"
"55-59","1.706","1.740","304","25"
"60-64","1.050","1.208","287","27"
"65-69","612","696","267","50"
"70-74","578","584","332","81"
"75-79","601","533","399","130"
"80-84","900","595","561","232"
"85-89","731","349","367","211"
"90+","770","215","257","222"

"Datenstand 19.10.2021 19:28:15"
