"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","220","224","13","0"
"05-09","287","311","7","0"
"10-14","399","400","10","0"
"15-19","659","673","19","0"
"20-24","795","868","25","0"
"25-29","750","832","40","0"
"30-34","740","721","55","0"
"35-39","716","667","36","2"
"40-44","691","643","44","2"
"45-49","689","685","73","3"
"50-54","830","867","80","0"
"55-59","726","756","105","8"
"60-64","470","490","100","10"
"65-69","258","297","95","12"
"70-74","266","236","131","32"
"75-79","286","233","170","43"
"80-84","352","262","214","76"
"85-89","244","123","112","62"
"90+","284","71","86","58"

"Datenstand 16.12.2020 20:43:43"
