"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","78","80","7","0"
"05-09","94","88","4","0"
"10-14","129","121","4","0"
"15-19","218","203","8","0"
"20-24","311","349","11","0"
"25-29","321","342","22","0"
"30-34","280","295","26","0"
"35-39","257","257","16","1"
"40-44","249","240","19","0"
"45-49","255","261","32","3"
"50-54","342","346","37","0"
"55-59","310","342","59","6"
"60-64","201","209","53","8"
"65-69","117","132","61","10"
"70-74","117","100","59","20"
"75-79","146","110","105","29"
"80-84","156","131","124","39"
"85-89","91","52","62","26"
"90+","97","30","38","28"

"Datenstand 28.10.2020 21:37:38"
