"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","285,31","897","+4","143","+1","47",""
"Stormarn","OD","272,21","662","","59","","35",""
"Segeberg","SE","173,89","480","","47","","7",""
"Kiel","KI","191,88","475","+1","80","","12",""
"Rendsburg-Eckernförde","RD","133,44","364","+1","51","","14",""
"Herzogtum Lauenburg","RZ","184,02","363","","51","","18",""
"Lübeck","HL","136,74","297","","14","","1",""
"Steinburg","IZ","172,82","227","","25","","3",""
"Dithmarschen","HEI","168,16","224","+13","33","+2","5",""
"Schleswig-Flensburg","SL","98,49","197","","21","","4",""
"Neumünster","NMS","213,87","170","","13","","3",""
"Plön","PLO","130,59","168","","36","","8",""
"Nordfriesland","NF","88,82","147","+5","19","+1","2",""
"Ostholstein","OH","70,79","142","","17","","0",""
"Flensburg","FL","139,66","125","","8","","3",""
"-"
"Schleswig-Holstein","SH","170,47","4.938","+24","617","+4","162",""

"Datenstand 04.10.2020 20:08:50"
