"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","42","36","4","0"
"05-09","34","32","1","0"
"10-14","59","62","4","0"
"15-19","129","129","1","0"
"20-24","217","211","3","0"
"25-29","213","182","12","0"
"30-34","166","205","8","0"
"35-39","156","184","13","0"
"40-44","165","119","5","0"
"45-49","165","132","10","0"
"50-54","214","188","12","0"
"55-59","188","160","21","0"
"60-64","138","116","22","0"
"65-69","71","87","18","1"
"70-74","81","89","33","2"
"75-79","103","110","49","12"
"80-84","183","122","80","19"
"85-89","156","70","41","13"
"90+","162","47","39","13"

"Datenstand 14.01.2021 19:58:11"
