"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.177,14","6.882","+16","691","","229",""
"Segeberg","SE","1.698,57","4.708","+15","377","+1","94",""
"Stormarn","OD","1.721,03","4.202","+33","379","+3","129",""
"Kiel","KI","1.524,35","3.762","+19","293","+2","59",""
"Herzogtum Lauenburg","RZ","1.876,08","3.715","+49","266","+1","75",""
"Lübeck","HL","1.662,13","3.599","+15","280","+1","75",""
"Rendsburg-Eckernförde","RD","969,36","2.657","+6","206","","35",""
"Ostholstein","OH","1.201,26","2.409","+2","242","","67",""
"Schleswig-Flensburg","SL","1.074,29","2.161","+6","91","","31",""
"Nordfriesland","NF","1.225,06","2.033","+2","224","+1","54",""
"Flensburg","FL","2.231,49","2.012","+10","114","","29",""
"Steinburg","IZ","1.261,71","1.653","+3","149","","21",""
"Neumünster","NMS","1.710,81","1.372","+6","98","+2","9",""
"Dithmarschen","HEI","872,42","1.162","+4","100","+2","20",""
"Plön","PLO","752,22","968","+6","120","+1","18",""
"-"
"Schleswig-Holstein","SH","1.490,99","43.295","+192","3.630","+14","945",""

"Datenstand 16.08.2021 18:34:29"
