"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.792,44","8.827","+37","806","+1","245","+1"
"Segeberg","SE","2.185,98","6.059","+35","471","+2","105",""
"Stormarn","OD","2.276,41","5.558","","478","","142",""
"Kiel","KI","2.223,72","5.488","+34","394","","68",""
"Herzogtum Lauenburg","RZ","2.385,12","4.723","","295","","80",""
"Lübeck","HL","2.133,19","4.619","+12","300","","76",""
"Rendsburg-Eckernförde","RD","1.340,03","3.673","+21","240","","43",""
"Ostholstein","OH","1.461,06","2.930","+1","266","","67",""
"Schleswig-Flensburg","SL","1.296,51","2.608","+6","108","","33",""
"Nordfriesland","NF","1.550,46","2.573","+26","259","+1","58","+1"
"Flensburg","FL","2.781,60","2.508","+16","128","","29",""
"Steinburg","IZ","1.630,37","2.136","+9","177","","28",""
"Neumünster","NMS","2.476,43","1.986","+9","131","+1","10",""
"Dithmarschen","HEI","1.347,67","1.795","+14","151","+1","23",""
"Plön","PLO","1.090,25","1.403","","153","","22",""
"-"
"Schleswig-Holstein","SH","1.959,04","56.886","+220","4.357","+6","1.029","+2"

"Datenstand 30.10.2021 19:13:08"
