"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","692,13","2.176","+31","215","","49",""
"Stormarn","OD","663,25","1.613","+2","78","+1","48",""
"Segeberg","SE","528,92","1.460","+25","103","","31",""
"Lübeck","HL","507,83","1.103","+36","47","+3","5",""
"Kiel","KI","435,07","1.077","+9","133","+1","16",""
"Herzogtum Lauenburg","RZ","472,46","932","","70","","23",""
"Rendsburg-Eckernförde","RD","319,68","872","+4","87","+1","17",""
"Nordfriesland","NF","387,90","642","+1","50","+1","4",""
"Dithmarschen","HEI","420,39","560","+7","67","","14",""
"Ostholstein","OH","274,70","551","+1","37","","2",""
"Schleswig-Flensburg","SL","249,47","499","","37","","6",""
"Neumünster","NMS","520,84","414","","28","","5",""
"Steinburg","IZ","310,63","408","+3","37","","3",""
"Flensburg","FL","337,42","302","+2","12","","3",""
"Plön","PLO","232,42","299","","54","","8",""
"-"
"Schleswig-Holstein","SH","445,61","12.908","+121","1.055","+7","234",""

"Datenstand 22.11.2020 20:15:54"
