"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","889,34","2.796","+12","284","+1","125",""
"Lübeck","HL","685,55","1.489","","175","","42",""
"Segeberg","SE","499,22","1.378","+10","70","","57",""
"Stormarn","OD","508,23","1.236","+8","135","","39",""
"Herzogtum Lauenburg","RZ","542,93","1.071","+28","67","+5","30","+3"
"Nordfriesland","NF","586,08","970","+7","148","+2","34","+2"
"Ostholstein","OH","465,15","933","+8","145","","35",""
"Kiel","KI","359,53","890","+8","99","+1","29",""
"Flensburg","FL","934,04","836","+23","42","","17",""
"Schleswig-Flensburg","SL","411,45","823","+9","43","","15",""
"Rendsburg-Eckernförde","RD","269,82","736","+3","82","+1","13",""
"Steinburg","IZ","331,18","435","+1","26","","3",""
"Neumünster","NMS","503,23","400","+5","36","","6",""
"Dithmarschen","HEI","245,48","327","","17","","7",""
"Plön","PLO","198,22","255","","51","","7",""
"-"
"Schleswig-Holstein","SH","503,16","14.575","+122","1.420","+10","459","+5"

"Datenstand 14.02.2021 20:07:44"
