"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","675","674","32","1"
"05-09","781","855","14","0"
"10-14","823","996","21","0"
"15-19","1.198","1.253","34","0"
"20-24","1.529","1.562","72","0"
"25-29","1.421","1.442","82","0"
"30-34","1.387","1.555","102","1"
"35-39","1.326","1.393","111","2"
"40-44","1.371","1.265","124","1"
"45-49","1.315","1.178","145","3"
"50-54","1.438","1.507","181","9"
"55-59","1.373","1.396","219","20"
"60-64","850","971","215","22"
"65-69","485","562","209","39"
"70-74","490","497","270","70"
"75-79","520","470","339","118"
"80-84","799","518","489","214"
"85-89","641","314","318","194"
"90+","674","191","225","204"

"Datenstand 28.05.2021 19:00:27"
