"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.290,43","4.057","+54","345","+3","74",""
"Stormarn","OD","1.206,85","2.935","+70","150","+4","71",""
"Lübeck","HL","1.120,64","2.434","+19","73","","16",""
"Segeberg","SE","877,80","2.423","+13","139","+5","48","+2"
"Kiel","KI","886,70","2.195","+16","218","+3","32",""
"Herzogtum Lauenburg","RZ","817,69","1.613","+9","91","","27",""
"Rendsburg-Eckernförde","RD","582,53","1.589","+11","131","+1","17",""
"Ostholstein","OH","516,00","1.035","+2","73","","9","+1"
"Nordfriesland","NF","551,64","913","+4","61","","11",""
"Dithmarschen","HEI","671,87","895","","90","","17",""
"Schleswig-Flensburg","SL","399,95","800","+17","57","+1","7",""
"Steinburg","IZ","606,79","797","+4","64","+4","12","+3"
"Neumünster","NMS","817,74","650","","37","","9",""
"Plön","PLO","398,77","513","+7","70","","9",""
"Flensburg","FL","515,06","461","+3","28","","7","+1"
"-"
"Schleswig-Holstein","SH","804,71","23.310","+229","1.627","+21","366","+7"

"Datenstand 26.12.2020 20:03:40"
