"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","33","40","4","0"
"05-09","48","49","3","0"
"10-14","62","62","4","0"
"15-19","105","93","5","0"
"20-24","174","171","8","0"
"25-29","193","181","17","0"
"30-34","159","165","15","0"
"35-39","160","133","10","0"
"40-44","147","138","15","0"
"45-49","143","161","22","3"
"50-54","223","206","26","0"
"55-59","200","212","49","6"
"60-64","116","117","43","8"
"65-69","82","89","51","10"
"70-74","73","72","49","18"
"75-79","105","82","89","26"
"80-84","106","97","104","37"
"85-89","70","36","50","26"
"90+","72","21","28","27"

"Datenstand 19.09.2020 20:51:15"
