"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","714","715","39","1"
"05-09","847","905","18","0"
"10-14","878","1.067","21","0"
"15-19","1.295","1.355","39","0"
"20-24","1.635","1.681","83","0"
"25-29","1.508","1.522","94","0"
"30-34","1.459","1.631","114","2"
"35-39","1.386","1.454","127","2"
"40-44","1.423","1.315","141","1"
"45-49","1.369","1.242","155","3"
"50-54","1.482","1.568","202","14"
"55-59","1.416","1.439","243","22"
"60-64","879","1.007","239","25"
"65-69","494","577","223","40"
"70-74","502","505","294","72"
"75-79","526","472","357","121"
"80-84","811","529","506","223"
"85-89","650","318","339","197"
"90+","680","194","235","212"

"Datenstand 23.07.2021 18:40:40"
