"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","136","14","7"
"02.01.2021","263","35","25"
"03.01.2021","201","37","10"
"04.01.2021","260","35","15"
"05.01.2021","538","55","12"
"06.01.2021","532","45","22"
"07.01.2021","477","32","13"
"08.01.2021","523","43","18"
"09.01.2021","405","34","13"
"10.01.2021","141","19","14"
"11.01.2021","258","45","14"
"12.01.2021","403","48","15"
"13.01.2021","489","50","18"
"14.01.2021","421","41","13"
"15.01.2021","412","60","18"
"16.01.2021","352","33","18"
"17.01.2021","201","24","11"
"18.01.2021","238","27","9"
"19.01.2021","469","48","25"
"20.01.2021","483","46","17"
"21.01.2021","496","48","21"
"22.01.2021","460","41","28"
"23.01.2021","439","40","11"
"24.01.2021","156","24","9"
"25.01.2021","163","36","16"
"26.01.2021","544","44","18"
"27.01.2021","463","48","21"
"28.01.2021","382","44","15"
"29.01.2021","346","45","29"
"30.01.2021","260","20","5"
"31.01.2021","179","18","7"
"01.02.2021","129","22","5"
"02.02.2021","361","33","11"
"03.02.2021","339","29","9"
"04.02.2021","327","42","9"
"05.02.2021","260","24","5"
"06.02.2021","268","18","5"
"07.02.2021","106","14","1"
"08.02.2021","136","31","6"
"09.02.2021","312","14","5"
"10.02.2021","334","19","5"
"11.02.2021","356","26","4"
"12.02.2021","226","16","0"
"13.02.2021","190","9","2"
"14.02.2021","115","11","2"
"15.02.2021","142","10","1"
"16.02.2021","247","13","4"
"17.02.2021","246","11","4"
"18.02.2021","254","17","3"
"19.02.2021","269","13","1"
"20.02.2021","199","13","0"
"21.02.2021","112","9","0"
"22.02.2021","104","7","0"
"23.02.2021","269","9","0"

"Datenstand 23.02.2021 22:10:50"
