"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","313,62","986","+3","146","","47",""
"Stormarn","OD","308,80","751","+27","61","+1","35",""
"Segeberg","SE","212,29","586","+15","50","","7",""
"Kiel","KI","203,60","504","+7","81","","12",""
"Rendsburg-Eckernförde","RD","149,94","409","+5","56","+1","14",""
"Herzogtum Lauenburg","RZ","202,77","400","+6","53","","18",""
"Lübeck","HL","163,45","355","","15","","1",""
"Dithmarschen","HEI","190,68","254","","36","","5",""
"Steinburg","IZ","191,86","252","+2","26","","3",""
"Schleswig-Flensburg","SL","111,49","223","+6","22","+1","5",""
"Neumünster","NMS","260,42","207","+3","13","","3",""
"Ostholstein","OH","89,74","180","+10","20","+1","0",""
"Plön","PLO","137,59","177","+2","36","","8",""
"Nordfriesland","NF","100,90","167","+1","20","","2",""
"Flensburg","FL","166,47","149","+3","9","","3",""
"-"
"Schleswig-Holstein","SH","193,32","5.600","+90","644","+4","163",""

"Datenstand 16.10.2020 19:39:57"
