"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","159","173","11","0"
"05-09","216","217","5","0"
"10-14","289","268","8","0"
"15-19","471","472","13","0"
"20-24","564","664","18","0"
"25-29","560","653","35","0"
"30-34","544","558","49","0"
"35-39","518","480","32","2"
"40-44","499","471","33","1"
"45-49","510","523","61","3"
"50-54","610","621","62","0"
"55-59","538","570","91","7"
"60-64","345","379","76","10"
"65-69","191","224","77","10"
"70-74","201","173","105","26"
"75-79","212","175","145","37"
"80-84","243","186","172","61"
"85-89","145","79","87","46"
"90+","136","42","60","45"

"Datenstand 27.11.2020 20:36:51"
