"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","174","189","12","0"
"05-09","244","244","5","0"
"10-14","332","315","9","0"
"15-19","550","529","17","0"
"20-24","648","742","22","0"
"25-29","616","713","35","0"
"30-34","608","605","51","0"
"35-39","577","545","34","2"
"40-44","560","532","36","1"
"45-49","573","574","64","3"
"50-54","683","696","66","0"
"55-59","592","629","96","7"
"60-64","388","413","87","10"
"65-69","206","245","83","12"
"70-74","225","192","117","27"
"75-79","238","194","152","38"
"80-84","266","204","183","67"
"85-89","164","86","95","50"
"90+","171","46","62","47"

"Datenstand 05.12.2020 20:33:24"
