"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","807","794","44","1"
"05-09","1.043","1.094","23","0"
"10-14","1.156","1.340","24","0"
"15-19","1.545","1.585","44","0"
"20-24","1.844","1.898","93","0"
"25-29","1.666","1.692","106","0"
"30-34","1.615","1.765","126","2"
"35-39","1.551","1.596","144","2"
"40-44","1.591","1.446","158","1"
"45-49","1.471","1.345","161","3"
"50-54","1.569","1.652","214","15"
"55-59","1.471","1.518","259","22"
"60-64","911","1.050","249","25"
"65-69","521","602","237","42"
"70-74","513","518","298","75"
"75-79","532","482","363","121"
"80-84","821","535","513","224"
"85-89","654","322","343","198"
"90+","689","196","239","214"

"Datenstand 17.08.2021 19:00:41"
