"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","970","988","53","1"
"05-09","1.390","1.446","27","0"
"10-14","1.572","1.771","32","0"
"15-19","1.840","1.948","52","0"
"20-24","2.129","2.241","109","0"
"25-29","1.965","2.028","140","0"
"30-34","1.912","2.132","163","2"
"35-39","1.828","1.843","183","3"
"40-44","1.837","1.697","183","4"
"45-49","1.679","1.544","177","4"
"50-54","1.748","1.829","250","18"
"55-59","1.609","1.670","295","25"
"60-64","994","1.161","272","26"
"65-69","575","660","256","47"
"70-74","549","551","318","78"
"75-79","567","515","387","128"
"80-84","862","570","544","231"
"85-89","685","337","351","204"
"90+","729","207","254","218"

"Datenstand 27.09.2021 18:54:02"
