"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","455,17","1.431","+67","172","+2","48",""
"Stormarn","OD","432,98","1.053","+29","64","","37",""
"Segeberg","SE","334,02","922","+36","65","","8",""
"Kiel","KI","269,85","668","+20","96","","12",""
"Herzogtum Lauenburg","RZ","307,20","606","+22","57","","19",""
"Lübeck","HL","271,18","589","+26","23","+1","2",""
"Rendsburg-Eckernförde","RD","208,23","568","+13","68","","15",""
"Dithmarschen","HEI","303,28","404","+9","53","","10",""
"Schleswig-Flensburg","SL","184,48","369","+13","28","","5",""
"Nordfriesland","NF","218,12","361","+8","28","+1","2",""
"Ostholstein","OH","157,54","316","+6","24","+1","0",""
"Steinburg","IZ","227,64","299","+4","30","","3",""
"Neumünster","NMS","329,61","262","","15","","3",""
"Flensburg","FL","248,03","222","+9","9","","3",""
"Plön","PLO","172,57","222","+3","42","+1","8",""
"-"
"Schleswig-Holstein","SH","286,26","8.292","+265","774","+6","175",""

"Datenstand 31.10.2020 20:14:16"
