"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","697","693","33","1"
"05-09","822","883","15","0"
"10-14","844","1.040","21","0"
"15-19","1.226","1.283","35","0"
"20-24","1.559","1.587","74","0"
"25-29","1.452","1.463","88","0"
"30-34","1.424","1.586","105","2"
"35-39","1.345","1.423","123","2"
"40-44","1.397","1.288","131","1"
"45-49","1.344","1.212","149","3"
"50-54","1.459","1.535","195","9"
"55-59","1.389","1.416","234","20"
"60-64","856","986","231","23"
"65-69","490","569","216","40"
"70-74","495","499","278","72"
"75-79","524","471","349","120"
"80-84","806","524","499","220"
"85-89","642","316","332","195"
"90+","678","193","231","211"

"Datenstand 12.06.2021 19:53:37"
