"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","999","1.023","55","1"
"05-09","1.442","1.507","30","0"
"10-14","1.650","1.844","34","0"
"15-19","1.887","1.990","52","0"
"20-24","2.174","2.295","111","0"
"25-29","2.021","2.084","148","0"
"30-34","1.969","2.183","169","2"
"35-39","1.867","1.889","188","3"
"40-44","1.889","1.742","187","4"
"45-49","1.710","1.579","181","4"
"50-54","1.791","1.871","256","18"
"55-59","1.640","1.702","301","25"
"60-64","1.016","1.180","278","26"
"65-69","593","675","259","48"
"70-74","561","563","322","78"
"75-79","582","521","392","130"
"80-84","878","581","552","230"
"85-89","704","344","358","205"
"90+","741","208","254","220"

"Datenstand 07.10.2021 18:35:52"
