"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","671","670","31","1"
"05-09","776","851","13","0"
"10-14","811","982","21","0"
"15-19","1.190","1.243","34","0"
"20-24","1.524","1.556","72","0"
"25-29","1.414","1.437","81","0"
"30-34","1.383","1.547","102","1"
"35-39","1.319","1.378","110","2"
"40-44","1.366","1.258","125","1"
"45-49","1.310","1.170","144","3"
"50-54","1.434","1.501","174","9"
"55-59","1.366","1.389","219","20"
"60-64","848","967","211","22"
"65-69","483","560","208","39"
"70-74","490","496","268","70"
"75-79","520","468","336","118"
"80-84","796","517","486","211"
"85-89","639","314","318","192"
"90+","673","191","225","204"

"Datenstand 26.05.2021 19:04:23"
