"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","15","7"
"02.01.2021","263","36","26"
"03.01.2021","201","38","12"
"04.01.2021","262","34","17"
"05.01.2021","539","58","12"
"06.01.2021","531","46","25"
"07.01.2021","476","32","13"
"08.01.2021","522","45","19"
"09.01.2021","406","40","15"
"10.01.2021","141","18","14"
"11.01.2021","258","46","15"
"12.01.2021","403","49","19"
"13.01.2021","487","51","20"
"14.01.2021","419","44","14"
"15.01.2021","410","60","20"
"16.01.2021","350","35","22"
"17.01.2021","202","27","15"
"18.01.2021","236","32","12"
"19.01.2021","463","51","27"
"20.01.2021","481","52","23"
"21.01.2021","498","54","23"
"22.01.2021","461","42","29"
"23.01.2021","439","41","12"
"24.01.2021","155","28","10"
"25.01.2021","161","36","18"
"26.01.2021","541","48","23"
"27.01.2021","464","54","25"
"28.01.2021","382","47","16"
"29.01.2021","346","51","32"
"30.01.2021","262","23","5"
"31.01.2021","178","21","7"
"01.02.2021","130","25","7"
"02.02.2021","358","36","11"
"03.02.2021","338","31","12"
"04.02.2021","323","44","12"
"05.02.2021","260","28","6"
"06.02.2021","268","22","8"
"07.02.2021","106","14","2"
"08.02.2021","136","33","11"
"09.02.2021","312","21","9"
"10.02.2021","333","27","17"
"11.02.2021","355","29","7"
"12.02.2021","224","19","4"
"13.02.2021","190","10","3"
"14.02.2021","116","12","7"
"15.02.2021","141","11","2"
"16.02.2021","249","15","5"
"17.02.2021","246","19","6"
"18.02.2021","255","29","11"
"19.02.2021","268","25","6"
"20.02.2021","200","21","2"
"21.02.2021","113","12","2"
"22.02.2021","104","9","7"
"23.02.2021","282","27","5"
"24.02.2021","252","21","7"
"25.02.2021","249","16","4"
"26.02.2021","266","24","6"
"27.02.2021","198","19","1"
"28.02.2021","90","10","2"
"01.03.2021","103","15","5"
"02.03.2021","223","20","5"
"03.03.2021","254","20","7"
"04.03.2021","228","13","3"
"05.03.2021","217","19","1"
"06.03.2021","213","20","2"
"07.03.2021","72","3","1"
"08.03.2021","114","14","3"
"09.03.2021","254","15","2"
"10.03.2021","272","19","2"
"11.03.2021","266","18","2"
"12.03.2021","236","16","2"
"13.03.2021","271","28","3"
"14.03.2021","78","6","1"
"15.03.2021","130","15","2"
"16.03.2021","313","26","6"
"17.03.2021","327","20","4"
"18.03.2021","290","17","1"
"19.03.2021","282","20","3"
"20.03.2021","298","15","2"
"21.03.2021","95","7","0"
"22.03.2021","157","11","0"
"23.03.2021","293","22","4"
"24.03.2021","328","18","1"
"25.03.2021","373","23","5"
"26.03.2021","379","18","3"
"27.03.2021","310","16","1"
"28.03.2021","158","12","1"
"29.03.2021","201","13","2"
"30.03.2021","358","19","1"
"31.03.2021","396","27","6"
"01.04.2021","358","19","4"
"02.04.2021","322","12","1"
"03.04.2021","202","21","3"
"04.04.2021","170","11","3"
"05.04.2021","205","13","1"
"06.04.2021","200","26","1"
"07.04.2021","413","28","3"
"08.04.2021","398","20","0"
"09.04.2021","358","20","0"
"10.04.2021","361","14","1"
"11.04.2021","170","12","2"
"12.04.2021","204","17","0"
"13.04.2021","424","26","2"
"14.04.2021","375","25","4"
"15.04.2021","345","20","4"
"16.04.2021","287","19","3"
"17.04.2021","326","14","2"
"18.04.2021","174","13","3"
"19.04.2021","206","16","2"
"20.04.2021","411","19","0"
"21.04.2021","379","21","0"
"22.04.2021","366","24","3"
"23.04.2021","336","15","2"
"24.04.2021","332","24","5"
"25.04.2021","115","13","0"
"26.04.2021","169","10","2"
"27.04.2021","366","24","3"
"28.04.2021","285","15","2"
"29.04.2021","267","17","1"
"30.04.2021","267","17","2"
"01.05.2021","241","12","2"
"02.05.2021","90","8","0"
"03.05.2021","159","13","0"
"04.05.2021","293","17","0"
"05.05.2021","294","14","0"
"06.05.2021","226","19","2"
"07.05.2021","228","11","1"
"08.05.2021","213","13","0"
"09.05.2021","108","7","1"
"10.05.2021","127","7","0"
"11.05.2021","239","7","0"
"12.05.2021","208","11","2"
"13.05.2021","149","8","0"
"14.05.2021","97","6","0"
"15.05.2021","147","5","0"
"16.05.2021","60","5","0"
"17.05.2021","87","4","0"
"18.05.2021","193","6","0"

"Datenstand 18.05.2021 19:45:23"
