"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","758","750","42","1"
"05-09","943","1.000","20","0"
"10-14","1.016","1.185","23","0"
"15-19","1.437","1.490","41","0"
"20-24","1.740","1.808","88","0"
"25-29","1.587","1.617","98","0"
"30-34","1.538","1.707","120","2"
"35-39","1.480","1.528","136","2"
"40-44","1.511","1.377","153","1"
"45-49","1.416","1.293","158","3"
"50-54","1.523","1.605","207","15"
"55-59","1.446","1.477","253","22"
"60-64","892","1.028","246","25"
"65-69","510","592","231","42"
"70-74","507","508","294","75"
"75-79","529","474","357","121"
"80-84","818","534","511","224"
"85-89","652","319","340","198"
"90+","689","195","239","213"

"Datenstand 08.08.2021 18:51:04"
