"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","310","345","18","1"
"05-09","313","404","5","0"
"10-14","375","433","11","0"
"15-19","645","671","19","0"
"20-24","941","944","31","0"
"25-29","893","882","42","0"
"30-34","853","946","50","1"
"35-39","754","824","65","0"
"40-44","850","721","65","0"
"45-49","826","703","69","2"
"50-54","930","935","101","3"
"55-59","908","875","115","11"
"60-64","544","613","127","17"
"65-69","317","373","136","29"
"70-74","337","352","190","54"
"75-79","391","354","233","89"
"80-84","683","436","396","183"
"85-89","578","269","254","171"
"90+","620","176","180","180"

"Datenstand 26.03.2021 20:06:35"
