"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.007,57","6.346","+9","669","+1","226",""
"Segeberg","SE","1.587,08","4.399","+1","366","","93",""
"Stormarn","OD","1.613,72","3.940","","358","","127",""
"Herzogtum Lauenburg","RZ","1.753,87","3.473","","258","","74",""
"Lübeck","HL","1.507,87","3.265","","263","","74",""
"Kiel","KI","1.312,84","3.240","+18","273","","58",""
"Rendsburg-Eckernförde","RD","897,85","2.461","","205","","35",""
"Ostholstein","OH","1.152,89","2.312","","239","","67",""
"Schleswig-Flensburg","SL","1.001,71","2.015","+2","88","","31",""
"Nordfriesland","NF","1.125,03","1.867","","213","+2","54",""
"Flensburg","FL","1.997,47","1.801","+1","111","","29",""
"Steinburg","IZ","1.157,14","1.516","","141","","20",""
"Neumünster","NMS","1.507,56","1.209","+1","91","","9",""
"Dithmarschen","HEI","783,82","1.044","+2","91","","20",""
"Plön","PLO","643,43","828","","108","","18",""
"-"
"Schleswig-Holstein","SH","1.367,74","39.716","+34","3.474","+3","935",""

"Datenstand 25.07.2021 18:53:41"
