"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","2.440,03","7.713","+32","739","+3","236","+2"
"Segeberg","SE","1.893,39","5.248","+17","414","+1","99","+1"
"Stormarn","OD","1.923,36","4.696","+9","427","","137",""
"Kiel","KI","1.871,20","4.618","+22","345","","65",""
"Herzogtum Lauenburg","RZ","2.127,07","4.212","+13","280","","76",""
"Lübeck","HL","1.920,29","4.158","+16","289","","75",""
"Rendsburg-Eckernförde","RD","1.113,47","3.052","+30","220","+2","36",""
"Ostholstein","OH","1.319,94","2.647","+6","254","+2","67",""
"Schleswig-Flensburg","SL","1.161,29","2.336","+6","99","+2","31",""
"Nordfriesland","NF","1.376,91","2.285","+21","238","+2","56",""
"Flensburg","FL","2.494,34","2.249","+1","122","","29",""
"Steinburg","IZ","1.470,85","1.927","+5","162","+2","22",""
"Neumünster","NMS","2.078,66","1.667","+11","110","+1","9",""
"Dithmarschen","HEI","1.153,21","1.536","+6","125","+2","21",""
"Plön","PLO","913,08","1.175","+11","131","","20","+1"
"-"
"Schleswig-Holstein","SH","1.705,33","49.519","+206","3.955","+17","979","+4"

"Datenstand 16.09.2021 18:48:32"
