"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","278","313","15","0"
"05-09","279","356","5","0"
"10-14","334","388","10","0"
"15-19","597","632","19","0"
"20-24","871","866","27","0"
"25-29","831","817","41","0"
"30-34","799","871","47","1"
"35-39","705","759","58","0"
"40-44","780","652","62","0"
"45-49","770","637","60","1"
"50-54","860","864","90","3"
"55-59","839","808","113","10"
"60-64","508","566","124","17"
"65-69","300","355","130","27"
"70-74","316","339","178","50"
"75-79","381","343","228","85"
"80-84","674","423","383","179"
"85-89","566","265","248","167"
"90+","615","176","180","180"

"Datenstand 20.03.2021 20:04:29"
