"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.367,41","4.299","+20","423","+3","184",""
"Segeberg","SE","1.083,57","2.991","+41","106","+1","77","+1"
"Stormarn","OD","988,09","2.403","+7","242","","104",""
"Lübeck","HL","1.025,33","2.227","+8","227","","64",""
"Herzogtum Lauenburg","RZ","1.058,48","2.088","","166","","64",""
"Kiel","KI","693,60","1.717","+26","159","+2","45",""
"Schleswig-Flensburg","SL","771,90","1.544","+3","68","+1","23",""
"Rendsburg-Eckernförde","RD","566,03","1.544","+16","132","","22",""
"Flensburg","FL","1.718,36","1.538","+12","99","+1","29",""
"Ostholstein","OH","721,40","1.447","+3","185","","59",""
"Nordfriesland","NF","801,78","1.327","+1","181","","47",""
"Steinburg","IZ","648,66","852","+7","59","","9","+1"
"Neumünster","NMS","948,58","754","+7","60","+2","8",""
"Dithmarschen","HEI","433,90","578","+13","49","","9",""
"Plön","PLO","371,56","478","+5","74","+1","12",""
"-"
"Schleswig-Holstein","SH","890,22","25.787","+169","2.230","+11","756","+2"

"Datenstand 03.04.2021 19:45:03"
