"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","265","277","13","0"
"05-09","333","357","8","0"
"10-14","465","470","11","0"
"15-19","812","834","24","0"
"20-24","1.022","1.080","29","0"
"25-29","976","1.027","43","0"
"30-34","934","911","63","0"
"35-39","908","818","46","2"
"40-44","888","805","52","2"
"45-49","908","853","84","3"
"50-54","1.096","1.086","102","1"
"55-59","985","977","117","11"
"60-64","654","666","122","14"
"65-69","350","409","121","16"
"70-74","343","318","158","39"
"75-79","379","318","214","56"
"80-84","538","371","279","108"
"85-89","414","197","153","85"
"90+","475","124","116","88"

"Datenstand 30.12.2020 20:12:35"
