"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","659","667","31","1"
"05-09","767","838","13","0"
"10-14","804","972","19","0"
"15-19","1.178","1.234","34","0"
"20-24","1.513","1.549","72","0"
"25-29","1.406","1.422","81","0"
"30-34","1.371","1.532","99","1"
"35-39","1.306","1.374","108","2"
"40-44","1.360","1.252","122","1"
"45-49","1.296","1.164","141","2"
"50-54","1.431","1.492","174","7"
"55-59","1.358","1.384","216","20"
"60-64","844","959","209","22"
"65-69","480","559","206","37"
"70-74","487","496","265","69"
"75-79","518","467","336","117"
"80-84","795","516","487","209"
"85-89","635","313","316","191"
"90+","670","190","223","204"

"Datenstand 22.05.2021 18:48:28"
