"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.944,30","6.146","+10","644","","221",""
"Segeberg","SE","1.545,95","4.285","+1","326","+5","93",""
"Stormarn","OD","1.569,08","3.831","+1","352","","127",""
"Herzogtum Lauenburg","RZ","1.723,57","3.413","+2","254","+1","73",""
"Lübeck","HL","1.459,38","3.160","+1","260","","74",""
"Kiel","KI","1.263,00","3.117","+3","262","","55",""
"Rendsburg-Eckernförde","RD","880,71","2.414","+3","204","","35",""
"Ostholstein","OH","1.120,98","2.248","","237","","67",""
"Schleswig-Flensburg","SL","985,30","1.982","+1","87","","30",""
"Nordfriesland","NF","1.088,27","1.806","+2","209","","54",""
"Flensburg","FL","1.961,98","1.769","+1","110","","29",""
"Steinburg","IZ","1.144,16","1.499","","140","","19",""
"Neumünster","NMS","1.431,49","1.148","+1","86","","9",""
"Dithmarschen","HEI","763,55","1.017","","90","","20",""
"Plön","PLO","627,88","808","+1","104","","18",""
"-"
"Schleswig-Holstein","SH","1.330,79","38.643","+27","3.365","+6","924",""

"Datenstand 16.06.2021 20:26:36"
