"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","963,77","3.030","+26","308","+4","155","+3"
"Lübeck","HL","778,55","1.691","+10","196","-1","59","+2"
"Segeberg","SE","576,38","1.591","+19","73","","62",""
"Stormarn","OD","594,99","1.447","+27","174","+10","72","+3"
"Herzogtum Lauenburg","RZ","653,95","1.290","+22","100","+4","38",""
"Nordfriesland","NF","652,54","1.080","+8","159","+4","37","+1"
"Flensburg","FL","1.195,48","1.070","+23","68","+1","22",""
"Schleswig-Flensburg","SL","528,93","1.058","+35","51","+1","16",""
"Ostholstein","OH","519,49","1.042","+14","163","","51","+1"
"Kiel","KI","414,06","1.025","+18","105","","34",""
"Rendsburg-Eckernförde","RD","340,94","930","+12","94","","19",""
"Steinburg","IZ","391,33","514","+8","30","+1","5",""
"Neumünster","NMS","576,19","458","+7","41","+1","7",""
"Dithmarschen","HEI","265,75","354","+5","26","","7",""
"Plön","PLO","251,85","324","+8","55","","11",""
"-"
"Schleswig-Holstein","SH","583,56","16.904","+242","1.643","+25","595","+10"

"Datenstand 25.02.2021 20:02:23"
