"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","170","182","11","0"
"05-09","156","197","3","0"
"10-14","213","237","8","0"
"15-19","428","407","11","0"
"20-24","642","612","20","0"
"25-29","634","582","27","0"
"30-34","572","629","36","0"
"35-39","505","541","41","0"
"40-44","565","430","36","0"
"45-49","606","460","43","1"
"50-54","658","630","64","2"
"55-59","644","588","85","6"
"60-64","403","429","95","9"
"65-69","235","283","107","21"
"70-74","243","272","139","39"
"75-79","332","288","192","65"
"80-84","591","373","314","136"
"85-89","526","233","206","137"
"90+","574","161","149","153"

"Datenstand 23.02.2021 22:10:50"
