"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.275,16","4.009","+34","400","","180",""
"Segeberg","SE","959,67","2.649","+29","98","","74",""
"Stormarn","OD","921,07","2.240","+12","231","+1","104",""
"Lübeck","HL","972,85","2.113","+16","218","+1","64",""
"Herzogtum Lauenburg","RZ","971,79","1.917","","158","","64",""
"Kiel","KI","638,26","1.580","+18","148","+3","43",""
"Schleswig-Flensburg","SL","751,41","1.503","+4","66","","23",""
"Flensburg","FL","1.630,09","1.459","+4","95","+2","28",""
"Rendsburg-Eckernförde","RD","515,81","1.407","+8","127","","21",""
"Ostholstein","OH","676,04","1.356","+5","183","","58",""
"Nordfriesland","NF","784,86","1.299","+8","178","","47","+1"
"Steinburg","IZ","571,01","750","+2","53","","8",""
"Neumünster","NMS","878,13","698","+7","57","+1","7",""
"Dithmarschen","HEI","400,12","533","+3","45","+1","9",""
"Plön","PLO","352,13","453","+1","73","","12",""
"-"
"Schleswig-Holstein","SH","827,35","23.966","+151","2.130","+9","742","+1"

"Datenstand 28.03.2021 20:48:35"
