"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","88","89","7","0"
"05-09","116","105","4","0"
"10-14","150","137","4","0"
"15-19","260","235","8","0"
"20-24","339","400","14","0"
"25-29","353","379","23","0"
"30-34","307","320","28","0"
"35-39","290","280","18","2"
"40-44","276","266","19","1"
"45-49","279","295","35","3"
"50-54","376","374","37","0"
"55-59","328","367","60","6"
"60-64","218","230","54","8"
"65-69","122","140","62","10"
"70-74","122","108","61","20"
"75-79","153","115","108","29"
"80-84","169","140","128","40"
"85-89","101","53","63","27"
"90+","102","32","41","29"

"Datenstand 31.10.2020 20:14:16"
