"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.907,61","6.030","+10","632","+5","217",""
"Segeberg","SE","1.521,42","4.217","+2","268","+2","91",""
"Stormarn","OD","1.534,26","3.746","+19","343","+1","122",""
"Herzogtum Lauenburg","RZ","1.702,87","3.372","+4","237","+4","69",""
"Lübeck","HL","1.437,68","3.113","+7","259","","74",""
"Kiel","KI","1.248,00","3.080","+3","258","","55",""
"Rendsburg-Eckernförde","RD","868,30","2.380","+10","201","","35",""
"Ostholstein","OH","1.113,50","2.233","+6","236","","66",""
"Schleswig-Flensburg","SL","978,84","1.969","+2","85","","30",""
"Nordfriesland","NF","1.066,58","1.770","+9","206","","53",""
"Flensburg","FL","1.955,33","1.763","+1","110","","29",""
"Steinburg","IZ","1.138,82","1.492","+6","139","+10","19",""
"Neumünster","NMS","1.424,01","1.142","+1","86","","9",""
"Dithmarschen","HEI","754,54","1.005","+1","88","","16",""
"Plön","PLO","623,22","802","","100","","17",""
"-"
"Schleswig-Holstein","SH","1.312,57","38.114","+81","3.248","+22","902",""

"Datenstand 01.06.2021 18:56:30"
