"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","348,61","1.096","+47","77","+2","14",""
"Segeberg","SE","239,10","660","+28","20","","7",""
"Stormarn","OD","244,25","594","+31","42","","4",""
"Lübeck","HL","237,11","515","+3","21","+1","5",""
"Kiel","KI","178,15","441","+19","49","+2","10",""
"Herzogtum Lauenburg","RZ","214,94","424","+4","14","","9",""
"Nordfriesland","NF","245,91","407","+39","78","+7","2",""
"Ostholstein","OH","179,48","360","+2","53","","7",""
"Rendsburg-Eckernförde","RD","123,55","337","+5","35","+6","0",""
"Schleswig-Flensburg","SL","153,48","307","+8","14","","6",""
"Flensburg","FL","296,08","265","+17","10","","4","+1"
"Steinburg","IZ","144,65","190","+1","8","","1",""
"Neumünster","NMS","220,16","175","+5","9","+2","1",""
"Dithmarschen","HEI","125,37","167","+5","12","","1",""
"Plön","PLO","94,83","122","+2","26","+1","2",""
"-"
"Schleswig-Holstein","SH","209,20","6.060","+216","468","+21","73","+1"

"Datenstand 17.01.2021 20:16:42"
