"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","240","250","13","0"
"05-09","307","323","8","0"
"10-14","426","431","11","0"
"15-19","727","732","21","0"
"20-24","874","942","27","0"
"25-29","839","906","39","0"
"30-34","792","787","57","0"
"35-39","774","710","39","2"
"40-44","755","705","46","2"
"45-49","757","754","74","3"
"50-54","930","958","85","0"
"55-59","812","839","108","9"
"60-64","529","552","108","12"
"65-69","289","335","102","14"
"70-74","286","264","136","34"
"75-79","308","261","177","46"
"80-84","398","283","226","80"
"85-89","280","148","115","66"
"90+","317","81","95","65"

"Datenstand 21.12.2020 20:04:37"
