"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","634","641","30","1"
"05-09","715","795","12","0"
"10-14","771","915","16","0"
"15-19","1.137","1.190","32","0"
"20-24","1.460","1.513","69","0"
"25-29","1.362","1.378","76","0"
"30-34","1.331","1.495","92","1"
"35-39","1.262","1.335","104","1"
"40-44","1.325","1.217","112","1"
"45-49","1.258","1.130","129","2"
"50-54","1.393","1.452","162","6"
"55-59","1.322","1.357","206","20"
"60-64","825","934","194","20"
"65-69","471","548","196","36"
"70-74","479","484","254","67"
"75-79","508","459","324","115"
"80-84","788","516","473","205"
"85-89","632","309","302","188"
"90+","669","189","214","201"

"Datenstand 14.05.2021 19:06:55"
