"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","14","7"
"02.01.2021","261","31","21"
"03.01.2021","202","36","7"
"04.01.2021","260","34","10"
"05.01.2021","538","51","10"
"06.01.2021","533","36","16"
"07.01.2021","478","31","11"
"08.01.2021","523","39","15"
"09.01.2021","407","32","8"
"10.01.2021","140","15","10"
"11.01.2021","259","45","7"
"12.01.2021","398","40","9"
"13.01.2021","491","41","9"
"14.01.2021","423","33","9"
"15.01.2021","417","56","7"
"16.01.2021","356","28","6"
"17.01.2021","202","22","2"
"18.01.2021","241","23","2"
"19.01.2021","468","33","3"
"20.01.2021","485","36","4"
"21.01.2021","501","30","1"
"22.01.2021","459","22","3"
"23.01.2021","443","28","1"
"24.01.2021","148","15","3"
"25.01.2021","155","24","1"
"26.01.2021","494","10","0"

"Datenstand 26.01.2021 21:34:13"
