"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.939,87","6.132","+1","643","","221",""
"Segeberg","SE","1.544,51","4.281","+1","312","+4","93",""
"Stormarn","OD","1.567,85","3.828","","351","","125",""
"Herzogtum Lauenburg","RZ","1.721,55","3.409","","251","","72",""
"Lübeck","HL","1.456,15","3.153","","260","","74",""
"Kiel","KI","1.261,38","3.113","+1","262","","55",""
"Rendsburg-Eckernförde","RD","879,25","2.410","","204","","35",""
"Ostholstein","OH","1.119,98","2.246","","237","","67","+1"
"Schleswig-Flensburg","SL","985,30","1.982","","87","","30",""
"Nordfriesland","NF","1.084,05","1.799","+1","209","","54",""
"Flensburg","FL","1.960,87","1.768","","109","","29",""
"Steinburg","IZ","1.143,40","1.498","","139","","19",""
"Neumünster","NMS","1.427,75","1.145","","86","","9",""
"Dithmarschen","HEI","763,55","1.017","","90","","20",""
"Plön","PLO","627,11","807","","104","","17",""
"-"
"Schleswig-Holstein","SH","1.328,89","38.588","+4","3.344","+4","920","+1"

"Datenstand 13.06.2021 18:34:46"
