"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","240","267","12","0"
"05-09","235","295","3","0"
"10-14","299","350","10","0"
"15-19","540","571","17","0"
"20-24","793","793","25","0"
"25-29","767","736","38","0"
"30-34","714","786","45","0"
"35-39","647","704","54","0"
"40-44","715","581","57","0"
"45-49","717","578","58","1"
"50-54","800","784","83","3"
"55-59","774","737","102","9"
"60-64","474","521","118","15"
"65-69","282","336","122","25"
"70-74","288","319","166","48"
"75-79","368","324","223","83"
"80-84","648","410","365","173"
"85-89","556","255","232","164"
"90+","611","175","175","175"

"Datenstand 13.03.2021 20:08:31"
