"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","1.793,40","5.669","+9","540","","196",""
"Segeberg","SE","1.440,61","3.993","+9","179","","87",""
"Stormarn","OD","1.428,59","3.488","+10","317","","116",""
"Herzogtum Lauenburg","RZ","1.571,06","3.111","+35","206","","69",""
"Lübeck","HL","1.322,68","2.864","+1","253","","70",""
"Kiel","KI","1.112,26","2.745","+20","226","","53",""
"Rendsburg-Eckernförde","RD","788,40","2.161","+8","180","+3","29","+1"
"Ostholstein","OH","1.048,67","2.103","+2","222","+1","64",""
"Schleswig-Flensburg","SL","947,52","1.906","+9","79","+2","27",""
"Flensburg","FL","1.925,38","1.736","","106","","29",""
"Nordfriesland","NF","990,65","1.644","+4","204","","51",""
"Steinburg","IZ","1.051,04","1.377","","100","","14",""
"Neumünster","NMS","1.344,21","1.078","+4","83","+1","9",""
"Dithmarschen","HEI","710,25","946","+2","80","","12","+1"
"Plön","PLO","565,72","728","+2","94","","16",""
"-"
"Schleswig-Holstein","SH","1.224,23","35.549","+115","2.869","+7","842","+2"

"Datenstand 09.05.2021 18:41:04"
